method,dataset,mean_balanced_accuracy,mean_cell_rank,evaluated_budget_cells,display_name,family
tabiclv2_self_training,phoneme,0.7662282675717487,3.875,4,TabICL v2 + self-training,TFM self-training
tabiclv2_self_training,spambase,0.9128170759402432,2.875,4,TabICL v2 + self-training,TFM self-training
tabiclv2_self_training,MagicTelescope,0.7982890176353565,3.25,4,TabICL v2 + self-training,TFM self-training
tabiclv2_self_training,adult,0.7245906662174046,7.875,4,TabICL v2 + self-training,TFM self-training
tabiclv2_self_training,bank-marketing,0.6348548436162795,5.5,4,TabICL v2 + self-training,TFM self-training
tabiclv2_self_training,electricity,0.7303549606192223,6.875,4,TabICL v2 + self-training,TFM self-training
tabiclv2_self_training,satimage,0.8129350651186136,3.0,4,TabICL v2 + self-training,TFM self-training
tabiclv2_self_training,segment,0.9336219336219336,2.5,4,TabICL v2 + self-training,TFM self-training
tabiclv2_self_training,steel-plates-fault,0.712544466792065,3.0,4,TabICL v2 + self-training,TFM self-training
tabiclv2_self_training,jannis,0.4222432045712482,1.875,4,TabICL v2 + self-training,TFM self-training
tabiclv2,phoneme,0.7670938141719106,3.125,4,TabICL v2,frozen TFM
tabiclv2,spambase,0.9113193271917612,3.125,4,TabICL v2,frozen TFM
tabiclv2,MagicTelescope,0.799335158453927,2.5,4,TabICL v2,frozen TFM
tabiclv2,adult,0.722813662906227,9.375,4,TabICL v2,frozen TFM
tabiclv2,bank-marketing,0.6301236240051546,6.25,4,TabICL v2,frozen TFM
tabiclv2,electricity,0.7314766724372429,6.125,4,TabICL v2,frozen TFM
tabiclv2,satimage,0.8130488328532697,2.5,4,TabICL v2,frozen TFM
tabiclv2,segment,0.9336219336219336,2.5,4,TabICL v2,frozen TFM
tabiclv2,steel-plates-fault,0.7059596435040253,3.0,4,TabICL v2,frozen TFM
tabiclv2,jannis,0.4198929127621709,2.875,4,TabICL v2,frozen TFM
tabpfn3_self_training,phoneme,0.7649248724131666,3.125,4,TabPFN-3 + self-training,TFM self-training
tabpfn3_self_training,spambase,0.9157490101405058,2.0,4,TabPFN-3 + self-training,TFM self-training
tabpfn3_self_training,MagicTelescope,0.798376757989373,2.25,4,TabPFN-3 + self-training,TFM self-training
tabpfn3_self_training,adult,0.7124577406695347,12.375,4,TabPFN-3 + self-training,TFM self-training
tabpfn3_self_training,bank-marketing,0.6172502031021461,8.625,4,TabPFN-3 + self-training,TFM self-training
tabpfn3_self_training,electricity,0.7393017083663056,5.25,4,TabPFN-3 + self-training,TFM self-training
tabpfn3_self_training,satimage,0.8080101498187864,4.25,4,TabPFN-3 + self-training,TFM self-training
tabpfn3_self_training,segment,0.9341630591630592,2.375,4,TabPFN-3 + self-training,TFM self-training
tabpfn3_self_training,steel-plates-fault,0.7106954406557581,2.25,4,TabPFN-3 + self-training,TFM self-training
tabpfn3_self_training,jannis,0.40889846037974104,4.375,4,TabPFN-3 + self-training,TFM self-training
tabpfn3,phoneme,0.7654059036781343,2.875,4,TabPFN-3,frozen TFM
tabpfn3,spambase,0.9157490101405058,2.0,4,TabPFN-3,frozen TFM
tabpfn3,MagicTelescope,0.7985230676816059,2.0,4,TabPFN-3,frozen TFM
tabpfn3,adult,0.7109701958330298,13.375,4,TabPFN-3,frozen TFM
tabpfn3,bank-marketing,0.6121196298273504,10.125,4,TabPFN-3,frozen TFM
tabpfn3,electricity,0.7398538249419121,5.25,4,TabPFN-3,frozen TFM
tabpfn3,satimage,0.8060594285867866,4.25,4,TabPFN-3,frozen TFM
tabpfn3,segment,0.933982683982684,2.625,4,TabPFN-3,frozen TFM
tabpfn3,steel-plates-fault,0.6956667001061843,4.0,4,TabPFN-3,frozen TFM
tabpfn3,jannis,0.40869106748360295,5.375,4,TabPFN-3,frozen TFM
catboost,phoneme,0.7282772061373809,10.25,4,CatBoost,supervised
catboost,spambase,0.8795296562891872,11.5,4,CatBoost,supervised
catboost,MagicTelescope,0.7666919583162095,8.0,4,CatBoost,supervised
catboost,adult,0.7200839851910843,12.0,4,CatBoost,supervised
catboost,bank-marketing,0.6235343945938332,7.25,4,CatBoost,supervised
catboost,electricity,0.7335087782025701,6.75,4,CatBoost,supervised
catboost,satimage,0.7931208316312603,8.5,4,CatBoost,supervised
catboost,segment,0.9096320346320346,5.625,4,CatBoost,supervised
catboost,steel-plates-fault,0.6765857234541968,7.25,4,CatBoost,supervised
catboost,jannis,0.39377343190144065,9.5,4,CatBoost,supervised
rpl_lite_xgboost,phoneme,0.7560168477931745,5.0,4,RPL-lite XGBoost,robust pseudo-labeling
rpl_lite_xgboost,spambase,0.8595016637538632,17.5,4,RPL-lite XGBoost,robust pseudo-labeling
rpl_lite_xgboost,MagicTelescope,0.7712125565387324,6.75,4,RPL-lite XGBoost,robust pseudo-labeling
rpl_lite_xgboost,adult,0.725390707904989,7.5,4,RPL-lite XGBoost,robust pseudo-labeling
rpl_lite_xgboost,bank-marketing,0.6587941009825053,6.5,4,RPL-lite XGBoost,robust pseudo-labeling
